Timestamp,HW_Sys_HrCh_HrChGhwSTmp(°F)
02-May-22 3:30 PM EDT,125.4
02-May-22 3:45 PM EDT,105.4
02-May-22 4:00 PM EDT,122.1
02-May-22 4:15 PM EDT,102.8
02-May-22 4:30 PM EDT,108.2
02-May-22 4:45 PM EDT,102.9
02-May-22 5:00 PM EDT,106.5
02-May-22 5:15 PM EDT,102.6
02-May-22 5:30 PM EDT,119.1
02-May-22 5:45 PM EDT,108.9
02-May-22 6:00 PM EDT,107.3
02-May-22 6:15 PM EDT,96.7
02-May-22 6:30 PM EDT,96.9
02-May-22 6:45 PM EDT,101.8
02-May-22 7:00 PM EDT,106.7
02-May-22 7:15 PM EDT,105.9
02-May-22 7:30 PM EDT,105.1
02-May-22 7:45 PM EDT,104.4
02-May-22 8:00 PM EDT,108.6
02-May-22 8:15 PM EDT,106.5
02-May-22 8:30 PM EDT,106.8
02-May-22 8:45 PM EDT,106.6
02-May-22 9:00 PM EDT,108.9
02-May-22 9:15 PM EDT,110.7
02-May-22 9:30 PM EDT,117.2
02-May-22 9:45 PM EDT,114.9
02-May-22 10:00 PM EDT,117.6
02-May-22 10:15 PM EDT,114.8
02-May-22 10:30 PM EDT,116.2
02-May-22 10:45 PM EDT,112.8
02-May-22 11:00 PM EDT,119.4
02-May-22 11:15 PM EDT,102.9
02-May-22 11:30 PM EDT,113.1
02-May-22 11:45 PM EDT,103.0
03-May-22 12:00 AM EDT,111.3
03-May-22 12:15 AM EDT,104.5
03-May-22 12:30 AM EDT,102.2
03-May-22 12:45 AM EDT,101.5
03-May-22 1:00 AM EDT,99.3
03-May-22 1:15 AM EDT,100.3
03-May-22 1:30 AM EDT,99.2
03-May-22 1:45 AM EDT,102.1
03-May-22 2:00 AM EDT,105.4
03-May-22 2:15 AM EDT,106.0
03-May-22 2:30 AM EDT,108.6
03-May-22 2:45 AM EDT,103.8
03-May-22 3:00 AM EDT,108.9
03-May-22 3:15 AM EDT,105.0
03-May-22 3:30 AM EDT,98.1
03-May-22 3:45 AM EDT,102.9
03-May-22 4:00 AM EDT,103.5
03-May-22 4:15 AM EDT,102.2
03-May-22 4:30 AM EDT,104.6
03-May-22 4:45 AM EDT,106.5
03-May-22 5:00 AM EDT,106.0
03-May-22 5:15 AM EDT,108.2
03-May-22 5:30 AM EDT,104.0
03-May-22 5:45 AM EDT,81.6
03-May-22 6:00 AM EDT,102.9
03-May-22 6:15 AM EDT,98.0
03-May-22 6:30 AM EDT,107.3
03-May-22 6:45 AM EDT,107.3
03-May-22 7:00 AM EDT,109.8
03-May-22 7:15 AM EDT,108.8
03-May-22 7:30 AM EDT,105.6
03-May-22 7:45 AM EDT,106.9
03-May-22 8:00 AM EDT,100.2
03-May-22 8:15 AM EDT,107.2
03-May-22 8:30 AM EDT,104.5
03-May-22 8:45 AM EDT,112.2
03-May-22 9:00 AM EDT,114.0
03-May-22 9:15 AM EDT,115.0
03-May-22 9:30 AM EDT,120.3
03-May-22 9:45 AM EDT,118.1
03-May-22 10:00 AM EDT,112.6
03-May-22 10:15 AM EDT,118.4
03-May-22 10:30 AM EDT,116.8
03-May-22 10:45 AM EDT,115.8
03-May-22 11:00 AM EDT,124.9
03-May-22 11:15 AM EDT,127.0
03-May-22 11:30 AM EDT,124.6
03-May-22 11:45 AM EDT,123.5
03-May-22 12:00 PM EDT,120.9
03-May-22 12:15 PM EDT,118.3
03-May-22 12:30 PM EDT,116.4
03-May-22 12:45 PM EDT,122.3
03-May-22 1:00 PM EDT,122.9
03-May-22 1:15 PM EDT,121.5
03-May-22 1:30 PM EDT,135.1
03-May-22 1:45 PM EDT,132.8
03-May-22 2:00 PM EDT,128.0
03-May-22 2:15 PM EDT,127.4
03-May-22 2:30 PM EDT,124.9
03-May-22 2:45 PM EDT,122.6
03-May-22 3:00 PM EDT,125.7
03-May-22 3:15 PM EDT,138.3
03-May-22 3:30 PM EDT,130.9
03-May-22 3:45 PM EDT,124.9
03-May-22 4:00 PM EDT,123.5
03-May-22 4:15 PM EDT,132.9
03-May-22 4:30 PM EDT,133.2
03-May-22 4:45 PM EDT,138.0
03-May-22 5:00 PM EDT,133.4
03-May-22 5:15 PM EDT,122.9
03-May-22 5:30 PM EDT,122.9
03-May-22 5:45 PM EDT,125.0
03-May-22 6:00 PM EDT,123.9
03-May-22 6:15 PM EDT,122.0
03-May-22 6:30 PM EDT,134.7
03-May-22 6:45 PM EDT,135.4
03-May-22 7:00 PM EDT,119.8
03-May-22 7:15 PM EDT,124.0
03-May-22 7:30 PM EDT,109.8
03-May-22 7:45 PM EDT,131.9
03-May-22 8:00 PM EDT,109.7
03-May-22 8:15 PM EDT,117.9
03-May-22 8:30 PM EDT,102.0
03-May-22 8:45 PM EDT,101.6
03-May-22 9:00 PM EDT,105.9
03-May-22 9:15 PM EDT,105.9
03-May-22 9:30 PM EDT,101.3
03-May-22 9:45 PM EDT,108.6
03-May-22 10:00 PM EDT,108.9
03-May-22 10:15 PM EDT,109.9
03-May-22 10:30 PM EDT,109.1
03-May-22 10:45 PM EDT,105.6
03-May-22 11:00 PM EDT,107.3
03-May-22 11:15 PM EDT,106.7
03-May-22 11:30 PM EDT,108.2
03-May-22 11:45 PM EDT,102.5
04-May-22 12:00 AM EDT,76.1
04-May-22 12:15 AM EDT,92.2
04-May-22 12:30 AM EDT,90.2
04-May-22 12:45 AM EDT,85.3
04-May-22 1:00 AM EDT,91.4
04-May-22 1:15 AM EDT,87.7
04-May-22 1:30 AM EDT,93.9
04-May-22 1:45 AM EDT,90.8
04-May-22 2:00 AM EDT,91.4
04-May-22 2:15 AM EDT,79.2
04-May-22 2:30 AM EDT,82.6
04-May-22 2:45 AM EDT,78.7
04-May-22 3:00 AM EDT,85.8
04-May-22 3:15 AM EDT,80.2
04-May-22 3:30 AM EDT,84.5
04-May-22 3:45 AM EDT,85.9
04-May-22 4:00 AM EDT,89.2
04-May-22 4:15 AM EDT,85.0
04-May-22 4:30 AM EDT,89.3
04-May-22 4:45 AM EDT,79.5
04-May-22 5:00 AM EDT,85.9
04-May-22 5:15 AM EDT,83.0
04-May-22 5:30 AM EDT,85.7
04-May-22 5:45 AM EDT,84.1
04-May-22 6:00 AM EDT,85.2
04-May-22 6:15 AM EDT,86.7
04-May-22 6:30 AM EDT,101.2
04-May-22 6:45 AM EDT,96.4
04-May-22 7:00 AM EDT,105.3
04-May-22 7:15 AM EDT,96.2
04-May-22 7:30 AM EDT,102.4
04-May-22 7:45 AM EDT,98.9
04-May-22 8:00 AM EDT,106.7
04-May-22 8:15 AM EDT,102.8
04-May-22 8:30 AM EDT,107.9
04-May-22 8:45 AM EDT,102.7
04-May-22 9:00 AM EDT,107.7
04-May-22 9:15 AM EDT,108.0
04-May-22 9:30 AM EDT,135.3
04-May-22 9:45 AM EDT,126.0
04-May-22 10:00 AM EDT,136.9
04-May-22 10:15 AM EDT,133.3
04-May-22 10:30 AM EDT,129.6
04-May-22 10:45 AM EDT,134.6
04-May-22 11:00 AM EDT,124.0
04-May-22 11:15 AM EDT,122.0
04-May-22 11:30 AM EDT,121.4
04-May-22 11:45 AM EDT,119.3
04-May-22 12:00 PM EDT,119.8
04-May-22 12:15 PM EDT,120.0
04-May-22 12:30 PM EDT,115.5
04-May-22 12:45 PM EDT,107.4
04-May-22 1:00 PM EDT,107.2
04-May-22 1:15 PM EDT,106.4
04-May-22 1:30 PM EDT,107.8
04-May-22 1:45 PM EDT,106.8
04-May-22 2:00 PM EDT,105.3
04-May-22 2:15 PM EDT,101.5
04-May-22 2:30 PM EDT,96.3
04-May-22 2:45 PM EDT,101.1
04-May-22 3:00 PM EDT,96.7
04-May-22 3:15 PM EDT,98.0
04-May-22 3:30 PM EDT,97.3
04-May-22 3:45 PM EDT,99.2
04-May-22 4:00 PM EDT,99.9
04-May-22 4:15 PM EDT,95.2
04-May-22 4:30 PM EDT,95.8
04-May-22 4:45 PM EDT,100.6
04-May-22 5:00 PM EDT,104.8
04-May-22 5:15 PM EDT,94.1
04-May-22 5:30 PM EDT,100.9
04-May-22 5:45 PM EDT,102.3
04-May-22 6:00 PM EDT,103.6
04-May-22 6:15 PM EDT,111.0
04-May-22 6:30 PM EDT,102.2
04-May-22 6:45 PM EDT,103.5
04-May-22 7:00 PM EDT,105.8
04-May-22 7:15 PM EDT,103.3
04-May-22 7:30 PM EDT,104.6
04-May-22 7:45 PM EDT,103.8
04-May-22 8:00 PM EDT,104.2
04-May-22 8:15 PM EDT,108.1
04-May-22 8:30 PM EDT,104.8
04-May-22 8:45 PM EDT,107.1
04-May-22 9:00 PM EDT,106.3
04-May-22 9:15 PM EDT,105.8
04-May-22 9:30 PM EDT,108.9
04-May-22 9:45 PM EDT,106.9
04-May-22 10:00 PM EDT,105.1
04-May-22 10:15 PM EDT,104.7
04-May-22 10:30 PM EDT,104.1
04-May-22 10:45 PM EDT,107.7
04-May-22 11:00 PM EDT,113.7
04-May-22 11:15 PM EDT,122.2
04-May-22 11:30 PM EDT,132.6
04-May-22 11:45 PM EDT,121.0
05-May-22 12:00 AM EDT,120.3
05-May-22 12:15 AM EDT,119.1
05-May-22 12:30 AM EDT,117.6
05-May-22 12:45 AM EDT,116.0
05-May-22 1:00 AM EDT,114.4
05-May-22 1:15 AM EDT,112.7
05-May-22 1:30 AM EDT,111.4
05-May-22 1:45 AM EDT,110.0
05-May-22 2:00 AM EDT,108.5
05-May-22 2:15 AM EDT,107.3
05-May-22 2:30 AM EDT,106.1
05-May-22 2:45 AM EDT,105.0
05-May-22 3:00 AM EDT,103.9
05-May-22 3:15 AM EDT,102.8
05-May-22 3:30 AM EDT,101.8
05-May-22 3:45 AM EDT,100.8
05-May-22 4:00 AM EDT,99.9
05-May-22 4:15 AM EDT,99.0
05-May-22 4:30 AM EDT,98.2
05-May-22 4:45 AM EDT,97.4
05-May-22 5:00 AM EDT,96.6
05-May-22 5:15 AM EDT,95.9
05-May-22 5:30 AM EDT,95.2
05-May-22 5:45 AM EDT,94.4
05-May-22 6:00 AM EDT,93.8
05-May-22 6:15 AM EDT,93.1
05-May-22 6:30 AM EDT,92.5
05-May-22 6:45 AM EDT,92.0
05-May-22 7:00 AM EDT,91.5
05-May-22 7:15 AM EDT,90.9
05-May-22 7:30 AM EDT,90.4
05-May-22 7:45 AM EDT,89.9
05-May-22 8:00 AM EDT,89.4
05-May-22 8:15 AM EDT,89.0
05-May-22 8:30 AM EDT,88.6
05-May-22 8:45 AM EDT,88.2
05-May-22 9:00 AM EDT,87.8
05-May-22 9:15 AM EDT,87.4
05-May-22 9:30 AM EDT,87.0
05-May-22 9:45 AM EDT,86.7
05-May-22 10:00 AM EDT,86.4
05-May-22 10:15 AM EDT,86.1
