Timestamp,HwTmpResetSpt_HwVlvPosMax(%)
02-May-22 3:30 PM EDT,67.1
02-May-22 3:45 PM EDT,82.7
02-May-22 4:00 PM EDT,89.9
02-May-22 4:15 PM EDT,81.7
02-May-22 4:30 PM EDT,100.0
02-May-22 4:45 PM EDT,100.0
02-May-22 5:00 PM EDT,67.1
02-May-22 5:15 PM EDT,67.1
02-May-22 5:30 PM EDT,67.1
02-May-22 5:45 PM EDT,67.1
02-May-22 6:00 PM EDT,87.0
02-May-22 6:15 PM EDT,100.0
02-May-22 6:30 PM EDT,88.3
02-May-22 6:45 PM EDT,80.5
02-May-22 7:00 PM EDT,100.0
02-May-22 7:15 PM EDT,100.0
02-May-22 7:30 PM EDT,100.0
02-May-22 7:45 PM EDT,100.0
02-May-22 8:00 PM EDT,100.0
02-May-22 8:15 PM EDT,100.0
02-May-22 8:30 PM EDT,100.0
02-May-22 8:45 PM EDT,100.0
02-May-22 9:00 PM EDT,100.0
02-May-22 9:15 PM EDT,67.1
02-May-22 9:30 PM EDT,67.1
02-May-22 9:45 PM EDT,87.2
02-May-22 10:00 PM EDT,100.0
02-May-22 10:15 PM EDT,94.9
02-May-22 10:30 PM EDT,100.0
02-May-22 10:45 PM EDT,59.5
02-May-22 11:00 PM EDT,58.0
02-May-22 11:15 PM EDT,45.3
02-May-22 11:30 PM EDT,47.4
02-May-22 11:45 PM EDT,59.6
03-May-22 12:00 AM EDT,52.2
03-May-22 12:15 AM EDT,62.0
03-May-22 12:30 AM EDT,79.0
03-May-22 12:45 AM EDT,100.0
03-May-22 1:00 AM EDT,100.0
03-May-22 1:15 AM EDT,69.6
03-May-22 1:30 AM EDT,44.1
03-May-22 1:45 AM EDT,43.4
03-May-22 2:00 AM EDT,97.2
03-May-22 2:15 AM EDT,97.1
03-May-22 2:30 AM EDT,51.7
03-May-22 2:45 AM EDT,49.0
03-May-22 3:00 AM EDT,77.3
03-May-22 3:15 AM EDT,81.2
03-May-22 3:30 AM EDT,100.0
03-May-22 3:45 AM EDT,100.0
03-May-22 4:00 AM EDT,67.4
03-May-22 4:15 AM EDT,79.1
03-May-22 4:30 AM EDT,58.1
03-May-22 4:45 AM EDT,91.0
03-May-22 5:00 AM EDT,100.0
03-May-22 5:15 AM EDT,100.0
03-May-22 5:30 AM EDT,100.0
03-May-22 5:45 AM EDT,51.7
03-May-22 6:00 AM EDT,56.2
03-May-22 6:15 AM EDT,100.0
03-May-22 6:30 AM EDT,100.0
03-May-22 6:45 AM EDT,100.0
03-May-22 7:00 AM EDT,100.0
03-May-22 7:15 AM EDT,100.0
03-May-22 7:30 AM EDT,100.0
03-May-22 7:45 AM EDT,100.0
03-May-22 8:00 AM EDT,100.0
03-May-22 8:15 AM EDT,100.0
03-May-22 8:30 AM EDT,100.0
03-May-22 8:45 AM EDT,100.0
03-May-22 9:00 AM EDT,100.0
03-May-22 9:15 AM EDT,100.0
03-May-22 9:30 AM EDT,100.0
03-May-22 9:45 AM EDT,100.0
03-May-22 10:00 AM EDT,100.0
03-May-22 10:15 AM EDT,100.0
03-May-22 10:30 AM EDT,100.0
03-May-22 10:45 AM EDT,100.0
03-May-22 11:00 AM EDT,100.0
03-May-22 11:15 AM EDT,100.0
03-May-22 11:30 AM EDT,100.0
03-May-22 11:45 AM EDT,100.0
03-May-22 12:00 PM EDT,100.0
03-May-22 12:15 PM EDT,100.0
03-May-22 12:30 PM EDT,100.0
03-May-22 12:45 PM EDT,100.0
03-May-22 1:00 PM EDT,100.0
03-May-22 1:15 PM EDT,100.0
03-May-22 1:30 PM EDT,100.0
03-May-22 1:45 PM EDT,100.0
03-May-22 2:00 PM EDT,100.0
03-May-22 2:15 PM EDT,100.0
03-May-22 2:30 PM EDT,100.0
03-May-22 2:45 PM EDT,100.0
03-May-22 3:00 PM EDT,100.0
03-May-22 3:15 PM EDT,100.0
03-May-22 3:30 PM EDT,100.0
03-May-22 3:45 PM EDT,100.0
03-May-22 4:00 PM EDT,100.0
03-May-22 4:15 PM EDT,100.0
03-May-22 4:30 PM EDT,100.0
03-May-22 4:45 PM EDT,100.0
03-May-22 5:00 PM EDT,100.0
03-May-22 5:15 PM EDT,100.0
03-May-22 5:30 PM EDT,100.0
03-May-22 5:45 PM EDT,100.0
03-May-22 6:00 PM EDT,100.0
03-May-22 6:15 PM EDT,100.0
03-May-22 6:30 PM EDT,100.0
03-May-22 6:45 PM EDT,100.0
03-May-22 7:00 PM EDT,100.0
03-May-22 7:15 PM EDT,100.0
03-May-22 7:30 PM EDT,100.0
03-May-22 7:45 PM EDT,100.0
03-May-22 8:00 PM EDT,100.0
