Timestamp,HRCH_1_WarningAlarm,HRCH_1_FaultAlarm,HRCH_1_ProblemAlarm,OaT(°F)
02-May-22 7:45 AM EDT,,,,44.2
02-May-22 8:00 AM EDT,,,,45.6
02-May-22 8:15 AM EDT,,,,47.9
02-May-22 8:30 AM EDT,,,,49.3
02-May-22 8:45 AM EDT,,,,51.3
02-May-22 9:00 AM EDT,,,,53.0
02-May-22 9:15 AM EDT,,,,54.4
02-May-22 9:30 AM EDT,,,,54.8
02-May-22 9:45 AM EDT,,,,55.6
02-May-22 10:00 AM EDT,,,,56.0
02-May-22 10:15 AM EDT,,,,57.4
02-May-22 10:30 AM EDT,,,,58.0
02-May-22 10:45 AM EDT,,,,58.1
02-May-22 11:00 AM EDT,,,,58.9
02-May-22 11:15 AM EDT,,,,59.3
02-May-22 11:30 AM EDT,,,,59.8
02-May-22 11:45 AM EDT,,,,60.0
02-May-22 12:00 PM EDT,,,,60.2
02-May-22 12:15 PM EDT,,,,60.8
02-May-22 12:30 PM EDT,,,,61.4
02-May-22 12:45 PM EDT,,,,61.0
02-May-22 12:57 PM EDT,9,,,
02-May-22 12:58 PM EDT,0,,,
02-May-22 1:00 PM EDT,,,,61.9
02-May-22 1:15 PM EDT,,,,62.9
02-May-22 1:18 PM EDT,,,33,
02-May-22 1:24 PM EDT,,,0,
02-May-22 1:28 PM EDT,,,21,
02-May-22 1:30 PM EDT,,,,62.9
02-May-22 1:33 PM EDT,,,0,
02-May-22 1:43 PM EDT,,,33,
02-May-22 1:45 PM EDT,,,,63.5
02-May-22 1:55 PM EDT,,,0,
02-May-22 1:57 PM EDT,,,21,
02-May-22 2:00 PM EDT,,,,63.7
02-May-22 2:05 PM EDT,,,0,
02-May-22 2:14 PM EDT,,,33,
02-May-22 2:15 PM EDT,,,,63.7
02-May-22 2:30 PM EDT,,,,63.6
02-May-22 2:38 PM EDT,9,,,
02-May-22 2:41 PM EDT,,,0,
02-May-22 2:41 PM EDT,0,,,
02-May-22 2:45 PM EDT,,,,62.7
02-May-22 3:00 PM EDT,,,,61.6
02-May-22 3:01 PM EDT,,,33,
02-May-22 3:01 PM EDT,9,,,
02-May-22 3:03 PM EDT,,,0,
02-May-22 3:03 PM EDT,0,,,
02-May-22 3:05 PM EDT,,,21,
02-May-22 3:12 PM EDT,,,0,
02-May-22 3:15 PM EDT,,,,60.6
02-May-22 3:22 PM EDT,,,33,
02-May-22 3:30 PM EDT,,,,60.0
02-May-22 3:33 PM EDT,,,0,
02-May-22 3:45 PM EDT,,,,59.7
02-May-22 3:53 PM EDT,,,33,
02-May-22 4:00 PM EDT,,,,58.6
02-May-22 4:03 PM EDT,,,0,
02-May-22 4:03 PM EDT,9,,,
02-May-22 4:04 PM EDT,0,,,
02-May-22 4:15 PM EDT,,,,56.0
02-May-22 4:30 PM EDT,,,,54.9
02-May-22 4:31 PM EDT,,,21,
02-May-22 4:45 PM EDT,,,,58.2
02-May-22 4:57 PM EDT,,,0,
02-May-22 5:00 PM EDT,,,,62.2
02-May-22 5:09 PM EDT,,,21,
02-May-22 5:15 PM EDT,,,,62.9
02-May-22 5:15 PM EDT,,,0,
02-May-22 5:25 PM EDT,,,33,
02-May-22 5:30 PM EDT,,,,63.0
02-May-22 5:33 PM EDT,9,,,
02-May-22 5:35 PM EDT,,,0,
02-May-22 5:36 PM EDT,0,,,
02-May-22 5:45 PM EDT,,,,63.2
02-May-22 5:55 PM EDT,,,33,
02-May-22 6:00 PM EDT,,,,62.6
02-May-22 6:03 PM EDT,9,,,
02-May-22 6:04 PM EDT,0,,,
02-May-22 6:07 PM EDT,,,0,
02-May-22 6:15 PM EDT,,,,61.5
02-May-22 6:30 PM EDT,,,,60.3
02-May-22 6:45 PM EDT,,,,59.2
02-May-22 6:50 PM EDT,,,21,
02-May-22 6:52 PM EDT,,,0,
02-May-22 7:00 PM EDT,,,,58.3
02-May-22 7:15 PM EDT,,,,57.6
02-May-22 7:24 PM EDT,,,21,
02-May-22 7:26 PM EDT,,,0,
02-May-22 7:30 PM EDT,,,,57.1
02-May-22 7:34 PM EDT,,,33,
02-May-22 7:36 PM EDT,,,0,
02-May-22 7:36 PM EDT,9,,,
02-May-22 7:37 PM EDT,0,,,
02-May-22 7:37 PM EDT,0,,,
02-May-22 7:45 PM EDT,,,,56.2
03-May-22 1:15 PM EDT,,,21,
04-May-22 11:37 PM EDT,,96,,
