,KBtuh_Heating,KBTUh_Cooling,OA_Temp
2021-02-11 05:30:00-05:00,23621.95671,5442.666953,27.55
2021-02-11 05:45:00-05:00,26691.82569,5868.215019,27.55
2021-02-11 06:00:00-05:00,27615.10467,6332.689102,27.03
2021-02-11 06:15:00-05:00,28644.11773,6221.441925,27.03
2021-02-11 06:30:00-05:00,27708.60812,6191.6994,26.51
2021-02-11 06:45:00-05:00,26116.94736,6609.44583,26.51
2021-02-11 07:00:00-05:00,25826.08235,6971.141205,25.77
2021-02-11 07:30:00-05:00,27021.66725,6931.187518,25.77
2021-02-11 08:00:00-05:00,27197.97138,6739.22457,28.08
2021-02-11 08:15:00-05:00,26221.86823,6600.242924,31.15
2021-02-11 08:30:00-05:00,25299.81317,6473.879414,34.34
2021-02-11 09:00:00-05:00,24781.45392,6904.875985,38.39
2021-02-11 09:15:00-05:00,24997.89133,7024.4901,38.39
2021-02-11 09:30:00-05:00,25522.6479,6904.875985,41.61
2021-02-11 09:45:00-05:00,25071.32313,6792.520373,40.48
2021-02-11 10:30:00-05:00,25186.42128,4308.368139,40.93
2021-02-11 10:45:00-05:00,24257.24588,4041.04275,41.85
2021-02-11 11:00:00-05:00,23050.46063,5088.523815,42.53
2021-02-11 11:15:00-05:00,23081.0777,4664.968692,43.88
2021-02-11 11:30:00-05:00,24023.59231,8658.530738,42.08
2021-02-11 12:45:00-05:00,22592.4355,4451.682599,42.3
2021-02-11 13:15:00-05:00,22876.1623,6889.84507,39.09
2021-02-11 13:30:00-05:00,20627.94917,5719.135251,39.09
2021-02-11 13:45:00-05:00,21762.8936,4780.15887,38.16
2021-02-11 15:00:00-05:00,22288.96557,6760.239969,46.76
2021-02-11 15:15:00-05:00,20894.97822,5523.17751,45.21
2021-02-11 15:30:00-05:00,22258.00437,4630.0761,41.16
2021-02-11 15:45:00-05:00,21726.40798,5843.942417,38.16
2021-02-11 16:00:00-05:00,22570.39668,7493.772476,36.5
2021-02-11 16:15:00-05:00,21943.99892,6187.310442,35.29
2021-02-11 16:30:00-05:00,23743.1616,4844.390565,34.09
2021-02-11 16:45:00-05:00,22399.60216,4308.208712,33.37
2021-02-11 17:00:00-05:00,22299.89055,3869.58109,32.63
2021-02-11 17:15:00-05:00,23349.69232,6074.11791,32.63
2021-02-11 17:30:00-05:00,23103.24357,7876.381368,32.13
2021-02-11 18:00:00-05:00,23245.5777,5610.898731,31.39
2021-02-11 18:30:00-05:00,23993.09889,4578.763733,31.39
2021-02-11 18:45:00-05:00,23169.50103,4349.848247,30.4
2021-02-11 19:00:00-05:00,23893.69077,4620.570702,29.88
2021-02-11 19:15:00-05:00,24874.65372,5653.430529,29.37
2021-02-11 19:30:00-05:00,24497.17998,8593.391017,29.37
2021-02-11 19:45:00-05:00,25568.42789,6202.397101,28.85
2021-02-11 20:00:00-05:00,23859.91873,4998.05785,28.85
